Simulation	const ed num Emergency Room	const mipw time Treatment LOS[mbed2]	const mipw time Treatment LOS[mbed3]	const sipw time Treatment LOS[mbed2]	const sipw time Treatment LOS[mbed3]	const surg num PostOp Beds	edMeanValue ppd	init L MEDBED AVAIL[mbed1]	init L MEDBED AVAIL[mbed2]	init L MEDBED AVAIL[mbed3]	init L SURGBED AVAIL[mbed1]	init L SURGBED AVAIL[mbed2]	init L SURGBED AVAIL[mbed3]	init L SURGERY OR AVAIL	isuMeanValue ppd	osuMeanValue ppd	f1pcntEDLWBS	f2pcntEDRMBLKD	f3timeEDdischarge	f4timeEDadmission	f5pcntSUcompletion	f6timeSUcompletion	f7numICUoccupy	f8numPCUoccupy	f9numACUoccupy	yOEE1avail	yOEE1c	yOEE1perf	yOEE1qual
200	11	21.438	141.216	20.07	132.96	3	44.39	11	6	36	9	5	28	7	18.512	15.408	0.071789057	0.408412571	4.355197143	20.25588571	0.630239571	6.876675714	32204271.43	114024.2857	885614.4286	0.543449857	0.227701571	0.828577429	0.506401714
201	21	26.442	67.104	31.374	55.776	9	39.41	10	10	46	5	10	44	3	12.208	11.952	0	0.0124864	3.520801429	4.519822857	0.99992	3.459167143	23426442.86	809187.1429	14497700	0.986736429	0.813879571	1.221917143	0.680482571
202	21	27.594	84.192	28.782	126.432	7	30.89	11	11	28	15	9	48	4	18.96	10.704	0	0.009786899	3.546982857	4.546468571	0.808676714	3.893732857	31220671.43	1954940	69023.55714	0.989612143	0.815142429	1.217364286	0.682316286
203	21	19.458	90.144	34.434	98.016	3	44.57	12	10	39	10	6	32	6	10.64	17.168	0	0.014121371	3.485351429	4.484151429	0.455372143	21.85958571	31787128.57	888539.8571	1936097.143	0.984955429	0.814423714	1.227951429	0.678403286
204	13	31.374	126.24	19.71	116.256	6	35.87	15	5	20	14	6	43	4	11.92	6.096	0.336573571	0.70623	5.388087143	62.24001429	0.782585429	12.41417143	34593628.57	294259.1429	336649.8571	0.258186714	0.067774071	0.639224143	0.415293
205	14	34.074	126.816	29.502	70.752	6	29.63	15	10	14	8	14	35	6	5.136	10.224	0.446745286	0.796377714	5.722138571	105.1552857	0.99992	2.748451429	36564842.86	23562371.43	10415900	0.167654143	0.039540857	0.596487429	0.398464571
206	22	20.934	93.216	22.158	103.968	8	48.65	14	5	36	14	10	42	3	7.92	17.68	0	0.028111914	3.500078571	5.53535	0.99992	3.676395714	32716314.29	29716.65714	1276665.714	0.974229857	0.776529286	1.19593	0.669434143
207	15	26.154	76.704	33.426	114.528	4	45.41	11	14	39	8	14	13	3	14.832	4.784	0	0.020142486	3.468552857	4.467342857	0.205082714	63.36692857	34246257.14	20999728.57	1997681.429	0.978521143	0.810247429	1.231241429	0.677352429
208	17	22.59	135.84	22.302	140.448	3	36.11	14	11	24	14	15	30	6	11.504	18.128	0.219559714	0.702960714	4.946364286	67.23935714	0.482418571	18.20244286	35258200	17073571.43	2033277.143	0.233871857	0.070831657	0.689301714	0.444866857
209	19	34.866	117.792	27.126	88.608	7	39.59	6	12	34	14	9	21	3	18.8	7.376	0	0.013866157	3.494852857	4.494091429	0.393092571	19.42364286	31787600	7613528.571	988609	0.985241857	0.814077286	1.226377143	0.678910143
