numER;mLOSmbed2;mLOSmbed3;sLOSmbed2;sLOSmbed3;numPOB;edMV;iMAmbed1;iMAmbed2;iMAmbed3;iSAmbed1;iSAmbed2;iSAmbed3;iSOA;iMV;osuMV;f1EDLWBS;f2EDRMBLKD;f3tEDd;f4tEDa;f5pSUc;f6tSUc;f7nCUo;f8nPCUo;f9nACUo;yOEE1c
12;21042;92.64;31446;63072;4;20.93;8;10;25;6;8;44;4;11248;8528;0;0.011604671;3572477143;4572501429;0.947967286;7939678571;26390100;3915234286;12586971.43;0.811960714
14;30186;76896;28.71;67.68;12;22.79;9;8;18;9;7;27;7;4848;19.76;0;0.0108308;357874;4578742857;0.99992;274291;34244342.86;9773160;9879771429;0.812315429
19;21474;140.64;31806;113376;4;35.69;8;13;35;7;11;16;4;5.52;9008;0;0.012498143;350156;4500438571;0.492728143;2947447143;32348971.43;18922528.57;401816;0.814982
21;28278;66144;29.61;84192;10;43.37;9;11;37;13;11;43;5;6736;18704;0;0.013741157;3510668571;4509525714;0.99992;2761382857;31731585.71;6763318571;10301614.29;0.813251429
14;31.77;131.04;20862;139488;10;47.57;11;13;26;14;14;27;5;15472;10832;0.371528;0.672603;5478674286;5196458571;0.406024857;2301221429;34857885.71;18484457.14;2239177143;0.0760845
24;18.99;50016;26.19;135264;7;26.03;10;15;14;5;8;22;3;12.56;12176;0;0.007216229;3566305714;4566058571;0.714999286;2858111429;32049200;19026928.57;1376975571;0.816575286
24;33102;84.96;24318;106272;11;39.11;9;12;14;11;7;21;6;7792;8656;0.410876857;0.824637286;5570621429;1302918571;0.807380571;1320128571;33841514.29;12145457.14;2236575714;0.032742114
12;19422;112224;19.35;123552;3;35.45;14;14;15;11;9;14;3;12752;4592;0.399937;0.722812143;556479;6560607143;0.317126286;4412428571;37534842.86;25759728.57;2237968571;0.061414071
20;33678;105888;21114;85728;3;20.87;9;10;15;8;10;32;3;6128;8.24;0;0.180068;3584884286;2871737143;0.99992;3373917143;33040685.71;15827457.14;3921647143;0.536784571
18;31878;59424;21258;103392;11;30.95;9;13;13;13;13;30;2;4528;17008;0.072520729;0.660055571;4339902857;6546982857;0.992304;4719127143;35117057.14;21112785.71;2932325714;0.107150857
22;19818;142752;30402;143904;2;22.73;11;9;49;8;6;39;6;19056;15184;0;0.006874267;354766;4547157143;0.432423571;1907668571;32796800;4837147143;7392412857;0.817551
17;26.91;108384;26118;100896;9;45.59;6;6;40;5;5;31;6;12688;15.44;0;0.017846557;3481541429;4480775714;0.379291;2660148571;23721971.43;2042505714;7521304286;0.811330571
19;35298;68.64;30.33;141216;10;29.21;7;9;41;6;11;29;3;18544;5584;0;0.010228786;355466;4554245714;0.532691857;282198;28715914.29;10471428.57;5847638571;0.814367
19;22986;108768;23958;112032;3;38.27;7;5;13;13;5;12;4;15.76;17392;0.518454286;0.832356714;5807717143;1305008571;0.193393714;4548198571;37069085.71;8598258571;2236465714;0.0305819
15;30.87;134688;18882;87456;7;27.35;6;13;17;12;7;19;3;13328;19216;0.299213286;0.762357143;5239792857;925033;0.546901286;1042404286;32353085.71;13587700;2237142857;0.049222257
12;29178;133536;28458;111648;5;36.83;14;7;22;12;12;34;5;17.84;14544;0.315736;0.668406429;5335044286;5229368571;0.700344429;7717891429;33094442.86;4340281429;2044235714;0.0800053
8;31086;96864;24174;130464;10;26.81;5;12;46;11;10;30;7;18128;5168;0;0.022297443;3545052857;4544505714;0.548867286;1710891429;30184600;11964914.29;5027142857;0.804208857
16;33246;81312;34146;68256;5;37.43;14;13;49;13;11;47;3;19856;8208;0;0.015565057;3511112857;4510061429;0.677211571;924963;30115685.71;1620972857;8355345714;0.811664571
18;18126;79584;33174;81504;10;40.61;10;12;49;5;13;15;7;4464;16528;0;0.015011143;3500834286;4499648571;0.636698857;1702444286;30637600;16186742.86;8489901429;0.812933429
12;23022;50784;25506;139872;4;42.29;7;12;27;9;13;29;4;18736;17072;0;0.023448171;3489585714;448837;0.307501429;208724;29516428.57;12779814.29;2587725714;0.805953429
16;29754;118944;18.45;88.8;11;35.75;10;7;23;7;10;35;3;13712;7152;0.187803429;0.681062857;4876817143;6009827143;0.904829286;2934721429;27416228.57;1841170;4433471429;0.081765414
12;25506;61.92;29934;108384;11;23.27;11;9;19;9;8;18;5;19664;8176;0;0.0129021;3578111429;4578061429;0.506124714;2760245714;34865371.43;12370014.29;8183497143;0.810697857
13;34974;82464;34614;130656;4;25.31;6;15;41;14;6;32;7;12336;15568;0;0.012953843;3536427143;4535765714;0.511028429;2156144286;32224200;9546632857;4712212857;0.812619286
17;33498;83.04;35442;143712;3;44.99;15;7;40;8;14;44;5;12816;10512;0;0.017608271;3494632857;4493422857;0.726380571;1128557143;30828257.14;2465244286;5540635714;0.810844714
22;28386;133.92;19746;114.72;7;25.43;12;7;20;11;15;19;2;18288;12688;0.072315429;0.656949857;4239255714;9494171429;0.283689286;2168225714;35618528.57;18860600;2237297143;0.121549286
21;24.21;48864;25866;58.08;2;45.65;10;8;29;5;14;16;4;8144;8112;0;0.014463557;3485571429;4484331429;0.709828714;1647141429;27625414.29;7538434286;1945274286;0.814108857
12;21906;127968;27954;48288;10;37.91;13;12;13;6;12;16;3;11.44;6;0.573866857;0.784452429;5975248571;9145914286;0.899905429;2757477143;32074157.14;15404057.14;1120327143;0.042561686
15;33.75;73.44;30.15;107232;11;49.91;7;8;37;13;6;40;3;18032;17104;0;0.022138614;3476562857;4475351429;0.332015714;1834195714;30027385.71;5623605714;2161097143;0.807772571
23;25794;67.68;29178;98592;9;24.17;13;11;42;7;5;14;2;13.68;16592;0;0.006991921;3574284286;4574112857;0.682811429;4025564286;35709757.14;13638457.14;16468985.71;0.816175857
12;32418;97632;31266;140256;4;32.45;9;7;45;14;6;21;6;17808;18864;0;0.0179921;3507208571;4506158571;0.229206286;3809581429;35577214.29;3821720;4225734286;0.809689857
23;20682;121.44;30294;127776;8;21.83;14;6;42;8;5;50;6;16816;4016;0;0.006315039;3539044286;4538375714;0.447609714;332871;34323114.29;4559932857;14323228.57;0.818006857
17;32562;65952;25182;115296;11;49.19;7;7;28;12;13;43;4;13488;7.28;0;0.019252114;349711;4495847143;0.929992143;4652598571;25799442.86;1734055714;781263;0.809082857
10;18918;69.6;27486;95904;11;21.17;14;7;26;5;6;23;6;8304;4464;0;0.014085343;3583888571;4584135714;0.885068714;2769262857;33490271.43;4403387143;6589594286;0.809087143
21;32166;141984;20322;73248;8;44.27;10;14;14;12;12;40;6;15664;11.76;0.661659571;0.871025286;5995084286;1816064286;0.99992;2747631429;29693442.86;10251914.29;2857158571;0.022125771
19;32922;106656;18.99;139296;10;44.33;10;14;43;10;13;20;5;5424;8.4;0;0.015523843;3486058571;4484821429;0.5475;2717354286;33300557.14;17761542.86;7718141429;0.813286143
